啊哈	a'ha
安第斯山	an'di'si'shan
安第斯山脉	an'di'si'shan'mai
安定	an'ding
安定人心	an'ding'ren'xin
安东	an'dong
安堵	an'du
安顿	an'dun
安放	an'fang
安分守己	an'fen'shou'ji
安福	an'fu
安抚	an'fu
安哥拉	an'ge'la
安哥拉兔	an'ge'la'tu
安国	an'guo
安好	an'hao
安徽	an'hui
安徽省	an'hui'sheng
安家	an'jia
安家费	an'jia'fei
安家落户	an'jia'luo'hu
安静	an'jing
安居	an'ju
安居乐业	an'ju'le'ye
安卡拉	an'ka'la
安卡拉羊	an'ka'la'yang
安乐	an'le
安理会	an'li'hui
安禄山	an'lu'shan
安戮	an'lu
安眠	an'mian
安民	an'min
安民告示	an'min'gao'shi
安娜	an'na
安南	an'nan
安宁	an'ning
安排	an'pai
安排工作	an'pai'gong'zuo
安排妥当	an'pai'tuo'dang
安培	an'pei
安平	an'ping
安庆	an'qing
安丘	an'qiu
安全	an'quan
安全措施	an'quan'cuo'shi
安全带	an'quan'dai
安全阀	an'quan'fa
安全检查	an'quan'jian'cha
安全理事会	an'quan'li'shi'hui
安全生产	an'quan'sheng'chan
安全系数	an'quan'xi'shu
安然	an'ran
安然无恙	an'ran'wu'yang
安人	an'ren
安设	an'she
安身	an'shen
安生	an'sheng
安史之乱	an'shi'zhi'luan
安危	an'wei
安慰	an'wei
安稳	an'wen
安息	an'xi
安息香	an'xi'xiang
安闲	an'xian
安乡	an'xiang
安祥	an'xiang
安详	an'xiang
安心	an'xin
安阳	an'yang
安逸	an'yi
安营扎寨	an'ying'za'zhai
安于	an'yu
安源	an'yuan
安葬	an'zang
安置	an'zhi
安装	an'zhuang
安厝	an'cuo
安谧	an'mi
安甯	an'ning
安瓿	an'bu
俺家	an'jia
俺们	an'men
按比例发展	an'bi'li'fa'zhan
按兵不动	an'bing'bu'dong
按步就班	an'bu'jiu'ban
按次	an'ci
按规定	an'gui'ding
按计划	an'ji'hua
按劳分配	an'lao'fen'pei
按劳取酬	an'lao'qu'chou
按理	an'li
按摩	an'mo
按钮	an'niu
按期	an'qi
按时	an'shi
按时完成	an'shi'wan'cheng
按时作息	an'shi'zuo'xi
按说	an'shuo
按需分配	an'xu'fen'pei
按压	an'ya
按语	an'yu
按照	an'zhao
按捺	an'na
暗暗	an'an
暗堡	an'bao
暗淡	an'dan
暗地里	an'di'li
暗电流	an'dian'liu
暗管	an'guan
暗害	an'hai
暗号	an'hao
暗礁	an'jiao
暗流	an'liu
暗杀	an'sha
暗示	an'shi
暗室	an'shi
暗线	an'xian
暗笑	an'xiao
暗中	an'zhong
暗自	an'zi
岸边	an'bian
案件	an'jian
案卷	an'juan
案情	an'qing
案子	an'zi
肮脏	ang'zang
昂贵	ang'gui
昂首	ang'shou
昂扬	ang'yang
盎然	ang'ran
盎司	ang'si
凹凸	ao'tu
凹凸不平	ao'tu'bu'ping
熬过	ao'guo
熬药	ao'yao
熬夜	ao'ye
翱翔	ao'xiang
傲慢	ao'man
奥地利	ao'di'li
奥古斯丁	ao'gu'si'ding
奥林匹克	ao'lin'pi'ke
奥林匹亚	ao'lin'pi'ya
奥秘	ao'mi
奥妙	ao'miao
奥氏体	ao'shi'ti
奥斯陆	ao'si'lu
奥斯特	ao'si'te
奥义	ao'yi
奥运会	ao'yun'hui
懊悔	ao'hui
懊恼	ao'nao
懊丧	ao'sang
澳大利亚	ao'da'li'ya
澳门	ao'men
澳洲	ao'zhou
芭蕉	ba'jiao
芭蕾	ba'lei
芭蕾舞	ba'lei'wu
笆斗	ba'dou
八百	ba'bai
八宝	ba'bao
八边形	ba'bian'xing
八成	ba'cheng
八次	ba'ci
八方	ba'fang
八分	ba'fen
八分音符	ba'fen'yin'fu
八个	ba'ge
八股	ba'gu
八国联军	ba'guo'lian'jun
八户	ba'hu
八家	ba'jia
八角	ba'jiao
八节	ba'jie
八进制	ba'jin'zhi
八两	ba'liang
八路	ba'lu
八路军	ba'lu'jun
八面玲珑	ba'mian'ling'long
八旗	ba'qi
八千	ba'qian
八十	ba'shi
八抬大轿	ba'tai'da'jiao
八仙桌	ba'xian'zhuo
八项注意	ba'xiang'zhu'yi
八月	ba'yue
八字	ba'zi
八字宪法	ba'zi'xian'fa
八卦	ba'gua
八卦掌	ba'gua'zhang
八卦阵	ba'gua'zhen
疤痕	ba'hen
巴巴	ba'ba
巴比伦	ba'bi'lun
巴比特	ba'bi'te
巴不得	ba'bu'de
巴顿	ba'dun
巴尔干	ba'er'gan
巴格达	ba'ge'da
巴赫	ba'he
巴基斯坦	ba'ji'si'tan
巴结	ba'jie
巴库	ba'ku
巴勒斯坦	ba'le'si'tan
巴黎	ba'li
巴黎公社	ba'li'gong'she
巴里	ba'li
巴林	ba'lin
巴马科	ba'ma'ke
巴拿马	ba'na'ma
巴拿马运河	ba'na'ma'yun'he
巴尼	ba'ni
巴山	ba'shan
巴西	ba'xi
巴西利亚	ba'xi'li'ya
巴掌	ba'zhang
拔草	ba'cao
拔除	ba'chu
拔掉	ba'diao
拔河	ba'he
拔尖	ba'jian
拔节	ba'jie
拔染	ba'ran
拔牙	ba'ya
跋山涉水	ba'shan'she'shui
跋涉	ba'she
靶场	ba'chang
靶子	ba'zi
把柄	ba'bing
把持	ba'chi
把儿	ba'er
把风	ba'feng
把关	ba'guan
把集	ba'ji
把家	ba'jia
把酒	ba'jiu
把门	ba'men
把式	ba'shi
把手	ba'shou
把守	ba'shou
把头	ba'tou
把握	ba'wo
把戏	ba'xi
把兄弟	ba'xiong'di
把这两	ba'zhe'liang
把子	ba'zi
坝子	ba'zi
霸道	ba'dao
霸权	ba'quan
霸权主义	ba'quan'zhu'yi
霸王	ba'wang
霸业	ba'ye
霸占	ba'zhan
霸主	ba'zhu
罢工	ba'gong
罢官	ba'guan
罢教	ba'jiao
罢课	ba'ke
罢了	ba'le
罢免	ba'mian
罢市	ba'shi
罢休	ba'xiu
罢黜	ba'chu
爸爸	ba'ba
白白	bai'bai
白白的	bai'bai'de
白布	bai'bu
白菜	bai'cai
白痴	bai'chi
白炽灯	bai'chi'deng
白打	bai'da
白蛋白	bai'dan'bai
白底	bai'di
白地	bai'di
白帝	bai'di
白帝城	bai'di'cheng
白点	bai'dian
白俄罗斯	bai'e'luo'si
白发	bai'fa
白发苍	bai'fa'cang
白发苍苍	bai'fa'cang'cang
白匪	bai'fei
白费	bai'fei
白粉	bai'fen
白宫	bai'gong
白骨	bai'gu
白河	bai'he
白虎	bai'hu
白花	bai'hua
白花花	bai'hua'hua
白化	bai'hua
白话	bai'hua
白话文	bai'hua'wen
白灰	bai'hui
白金	bai'jin
白净	bai'jing
白酒	bai'jiu
白居易	bai'ju'yi
白军	bai'jun
白口	bai'kou
白口铁	bai'kou'tie
白蜡	bai'la
白蜡虫	bai'la'chong
白蜡树	bai'la'shu
白兰	bai'lan
白兰地	bai'lan'di
白兰花	bai'lan'hua
白朗	bai'lang
白痢	bai'li
白莲教	bai'lian'jiao
白磷	bai'lin
白领	bai'ling
白露	bai'lu
白马	bai'ma
白茫茫	bai'mang'mang
白毛女	bai'mao'nv
白米	bai'mi
白面	bai'mian
白旗	bai'qi
白区	bai'qu
白热	bai're
白人	bai'ren
白刃战	bai'ren'zhan
白日	bai'ri
白日梦	bai'ri'meng
白肉	bai'rou
白色	bai'se
白色恐怖	bai'se'kong'bu
白沙	bai'sha
白沙瓦	bai'sha'wa
白薯	bai'shu
白水	bai'shui
白塔	bai'ta
白糖	bai'tang
白陶	bai'tao
白天	bai'tian
白铁	bai'tie
白铁皮	bai'tie'pi
白铜	bai'tong
白头	bai'tou
白细胞	bai'xi'bao
白相	bai'xiang
白熊	bai'xiong
白雪	bai'xue
白血球	bai'xue'qiu
白眼	bai'yan
白杨	bai'yang
白杨树	bai'yang'shu
白蚁	bai'yi
白银	bai'yin
白玉	bai'yu
白云	bai'yun
白云石	bai'yun'shi
白纸	bai'zhi
白质	bai'zhi
白种	bai'zhong
白昼	bai'zhou
白浊	bai'zhuo
白族	bai'zu
白垩	bai'e
白桦	bai'hua
白醣	bai'tang
百般	bai'ban
百倍	bai'bei
百出	bai'chu
百吨	bai'dun
百二	bai'er
百废具兴	bai'fei'ju'xing
百分	bai'fen
百分比	bai'fen'bi
百分表	bai'fen'biao
百分数	bai'fen'shu
百分之	bai'fen'zhi
百分之百	bai'fen'zhi'bai
百官	bai'guan
百户	bai'hu
百花齐放	bai'hua'qi'fang
百货	bai'huo
百货公司	bai'huo'gong'si
百货商店	bai'huo'shang'dian
百济	bai'ji
百计	bai'ji
百家	bai'jia
百家争鸣	bai'jia'zheng'ming
百科	bai'ke
百科全书	bai'ke'quan'shu
百里	bai'li
百里挑一	bai'li'tiao'yi
百两	bai'liang
百年	bai'nian
百年大计	bai'nian'da'ji
百年后	bai'nian'hou
百日	bai'ri
百胜	bai'sheng
百十	bai'shi
百万	bai'wan
百万富翁	bai'wan'fu'weng
百姓	bai'xing
百一	bai'yi
百元	bai'yuan
百战	bai'zhan
百战百胜	bai'zhan'bai'sheng
百折不挠	bai'zhe'bu'nao
摆布	bai'bu
摆动	bai'dong
摆渡	bai'du
摆好	bai'hao
摆弄	bai'nong
摆设	bai'she
摆脱	bai'tuo
摆线	bai'xian
摆在	bai'zai
摆正	bai'zheng
败坏	bai'huai
败将	bai'jiang
败局	bai'ju
败类	bai'lei
败诉	bai'su
败退	bai'tui
败亡	bai'wang
败兴	bai'xing
败仗	bai'zhang
拜访	bai'fang
拜会	bai'hui
拜见	bai'jian
拜年	bai'nian
拜托	bai'tuo
拜谢	bai'xie
稗子	bai'zi
斑白	ban'bai
斑斑	ban'ban
斑点	ban'dian
斑马	ban'ma
斑纹	ban'wen
班长	ban'chang
班长	ban'zhang
班车	ban'che
班次	ban'ci
班固	ban'gu
班机	ban'ji
班吉	ban'ji
班级	ban'ji
班珠尔	ban'zhu'er
班主任	ban'zhu'ren
班子	ban'zi
班组	ban'zu
班禅	ban'chan
班禅额尔德尼	ban'chan'e'er'de'ni
搬动	ban'dong
搬家	ban'jia
搬开	ban'kai
搬移	ban'yi
搬用	ban'yong
搬运	ban'yun
扳道	ban'dao
扳手	ban'shou
扳子	ban'zi
般配	ban'pei
颁布	ban'bu
颁发	ban'fa
颁行	ban'xing
板报	ban'bao
板材	ban'cai
板凳	ban'deng
板胡	ban'hu
板极	ban'ji
板结	ban'jie
板栗	ban'li
板式	ban'shi
板牙	ban'ya
板子	ban'zi
版本	ban'ben
版画	ban'hua
版面	ban'mian
版权	ban'quan
版书	ban'shu
版税	ban'shui
版图	ban'tu
扮演	ban'yan
拌种	ban'zhong
伴侣	ban'lv
伴随	ban'sui
伴音	ban'yin
伴奏	ban'zou
瓣膜	ban'mo
半辈子	ban'bei'zi
半壁	ban'bi
半边	ban'bian
半边天	ban'bian'tian
半部	ban'bu
半场	ban'chang
半成品	ban'cheng'pin
半大	ban'da
半岛	ban'dao
半导体	ban'dao'ti
半点	ban'dian
半封建	ban'feng'jian
半个	ban'ge
半工半读	ban'gong'ban'du
半角	ban'jiao
半截	ban'jie
半斤	ban'jin
半径	ban'jing
半开	ban'kai
半路	ban'lu
半年	ban'nian
半球	ban'qiu
半日	ban'ri
半晌	ban'shang
半生	ban'sheng
半失业	ban'shi'ye
半世	ban'shi
半数	ban'shu
半衰期	ban'shuai'qi
半死	ban'si
半天	ban'tian
半透明	ban'tou'ming
半途	ban'tu
半途而废	ban'tu'er'fei
半小时	ban'xiao'shi
半夜	ban'ye
半夜三更	ban'ye'san'geng
半音	ban'yin
半圆	ban'yuan
半月	ban'yue
半月刊	ban'yue'kan
半殖民地	ban'zhi'min'di
半制品	ban'zhi'pin
半自动	ban'zi'dong
办案	ban'an
办不到	ban'bu'dao
办到	ban'dao
办得到	ban'de'dao
办法	ban'fa
办公	ban'gong
办公室	ban'gong'shi
办公厅	ban'gong'ting
办好	ban'hao
办货	ban'huo
办理	ban'li
办起	ban'qi
办事	ban'shi
办事处	ban'shi'chu
办事员	ban'shi'yuan
办学	ban'xue
绊脚石	ban'jiao'shi
邦本	bang'ben
邦交	bang'jiao
邦联	bang'lian
帮办	bang'ban
帮工	bang'gong
帮会	bang'hui
帮忙	bang'mang
帮派	bang'pai
帮腔	bang'qiang
帮手	bang'shou
帮凶	bang'xiong
帮助	bang'zhu
梆子	bang'zi
榜首	bang'shou
榜样	bang'yang
绑架	bang'jia
绑腿	bang'tui
棒球	bang'qiu
棒子	bang'zi
傍晚	bang'wan
苞谷	bao'gu
苞米	bao'mi
胞胎	bao'tai
包办	bao'ban
包庇	bao'bi
包藏	bao'cang
包藏祸心	bao'cang'huo'xin
包产	bao'chan
包产到户	bao'chan'dao'hu
包场	bao'chang
包抄	bao'chao
包车	bao'che
包袱	bao'fu
包干	bao'gan
包工	bao'gong
包谷	bao'gu
包裹	bao'guo
包含	bao'han
包涵	bao'han
包紧	bao'jin
包括	bao'kuo
包揽	bao'lan
包罗	bao'luo
包皮	bao'pi
包身	bao'shen
包头	bao'tou
包围	bao'wei
包围圈	bao'wei'quan
包下来	bao'xia'lai
包销	bao'xiao
包装	bao'zhuang
包装袋	bao'zhuang'dai
包子	bao'zi
包梏	bao'gu
褒贬	bao'bian
褒奖	bao'jiang
褒义	bao'yi
剥夺	bo'duo
剥开	bo'kai
剥离	bo'li
剥落	bo'luo
剥蚀	bo'shi
雹灾	bao'zai
雹子	bao'zi
保安	bao'an
保安队	bao'an'dui
保不住	bao'bu'zhu
保持	bao'chi
保持警惕	bao'chi'jing'ti
保存	bao'cun
保定	bao'ding
保管	bao'guan
保护	bao'hu
保护关税	bao'hu'guan'shui
保护国	bao'hu'guo
保护人	bao'hu'ren
保皇党	bao'huang'dang
保加利亚	bao'jia'li'ya
保甲	bao'jia
保驾	bao'jia
保荐	bao'jian
保健	bao'jian
保留	bao'liu
保罗	bao'luo
保密	bao'mi
保苗	bao'miao
保姆	bao'mu
保全	bao'quan
保人	bao'ren
保山	bao'shan
保墒	bao'shang
保守	bao'shou
保送	bao'song
保卫	bao'wei
保卫和平	bao'wei'he'ping
保卫者	bao'wei'zhe
保卫祖国	bao'wei'zu'guo
保温	bao'wen
保温瓶	bao'wen'ping
保险	bao'xian
保险公司	bao'xian'gong'si
保险柜	bao'xian'gui
保险金额	bao'xian'jin'e
保险丝	bao'xian'si
保修	bao'xiu
保养	bao'yang
保有	bao'you
保佑	bao'you
保育	bao'yu
保育员	bao'yu'yuan
保障	bao'zhang
保真	bao'zhen
保证	bao'zheng
保证供应	bao'zheng'gong'ying
保证人	bao'zheng'ren
保重	bao'zhong
保镖	bao'biao
保镳	bao'biao
堡垒	bao'lei
堡子	bao'zi
饱餐	bao'can
饱含	bao'han
饱和	bao'he
饱和点	bao'he'dian
饱和电流	bao'he'dian'liu
饱和度	bao'he'du
饱和溶液	bao'he'rong'ye
饱和水汽压	bao'he'shui'qi'ya
饱和状态	bao'he'zhuang'tai
饱满	bao'man
饱食终日	bao'shi'zhong'ri
宝宝	bao'bao
宝贝	bao'bei
宝藏	bao'zang
宝成铁路	bao'cheng'tie'lu
宝殿	bao'dian
宝丰	bao'feng
宝贵	bao'gui
宝鸡	bao'ji
宝剑	bao'jian
宝库	bao'ku
宝庆	bao'qing
宝山	bao'shan
宝石	bao'shi
宝塔	bao'ta
宝物	bao'wu
宝座	bao'zuo
宝钗	bao'chai
抱负	bao'fu
抱朴	bao'pu
抱起	bao'qi
抱歉	bao'qian
抱有	bao'you
抱怨	bao'yuan
报表	bao'biao
报酬	bao'chou
报仇	bao'chou
报答	bao'da
报导	bao'dao
报到	bao'dao
报道	bao'dao
报废	bao'fei
报复	bao'fu
报告	bao'gao
报告文学	bao'gao'wen'xue
报馆	bao'guan
报国	bao'guo
报界	bao'jie
报警	bao'jing
报刊	bao'kan
报刊杂志	bao'kan'za'zhi
报考	bao'kao
报名	bao'ming
报请	bao'qing
报社	bao'she
报务	bao'wu
报喜	bao'xi
报销	bao'xiao
报信	bao'xin
报章	bao'zhang
报纸	bao'zhi
暴病	bao'bing
暴跌	bao'die
暴动	bao'dong
暴发	bao'fa
暴发户	bao'fa'hu
暴风	bao'feng
暴风雪	bao'feng'xue
暴风雨	bao'feng'yu
暴君	bao'jun
暴利	bao'li
暴力	bao'li
暴力革命	bao'li'ge'ming
暴烈	bao'lie
暴露	bao'lu
暴乱	bao'luan
暴虐	bao'nue
暴徒	bao'tu
暴行	bao'xing
暴雨	bao'yu
暴躁	bao'zao
暴涨	bao'zhang
暴政	bao'zheng
豹子	bao'zi
鲍敬言	bao'jing'yan
鲍威尔	bao'wei'er
鲍鱼	bao'yu
鲍照	bao'zhao
爆发	bao'fa
爆裂	bao'lie
爆破	bao'po
爆炸	bao'zha
爆炸声	bao'zha'sheng
爆竹	bao'zhu
杯子	bei'zi
碑文	bei'wen
悲哀	bei'ai
悲惨	bei'can
悲愤	bei'fen
悲歌	bei'ge
悲观	bei'guan
悲剧	bei'ju
悲苦	bei'ku
悲凉	bei'liang
悲伤	bei'shang
悲痛	bei'tong
悲壮	bei'zhuang
卑鄙	bei'bi
卑贱	bei'jian
卑劣	bei'lie
卑下	bei'xia
北爱尔兰	bei'ai'er'lan
北半球	bei'ban'qiu
北边	bei'bian
北冰洋	bei'bing'yang
北部	bei'bu
北部湾	bei'bu'wan
北大	bei'da
北大荒	bei'da'huang
北戴河	bei'dai'he
北伐	bei'fa
北伐军	bei'fa'jun
北伐战争	bei'fa'zhan'zheng
北方	bei'fang
北方人	bei'fang'ren
北房	bei'fang
北非	bei'fei
北风	bei'feng
北海	bei'hai
北海道	bei'hai'dao
北极	bei'ji
北极星	bei'ji'xing
北郊	bei'jiao
北京	bei'jing
北京大学	bei'jing'da'xue
北京电视台	bei'jing'dian'shi'tai
北京饭店	bei'jing'fan'dian
北京烤鸭	bei'jing'kao'ya
北京市	bei'jing'shi
北京四通	bei'jing'si'tong
北京鸭	bei'jing'ya
北美洲	bei'mei'zhou
北面	bei'mian
北欧	bei'ou
北齐	bei'qi
北山	bei'shan
北宋	bei'song
北纬	bei'wei
北魏	bei'wei
北洋	bei'yang
北洋军阀	bei'yang'jun'fa
北周	bei'zhou
辈出	bei'chu
辈分	bei'fen
辈子	bei'zi
背包	bei'bao
背部	bei'bu
背道而驰	bei'dao'er'chi
背地	bei'di
背地里	bei'di'li
背风	bei'feng
背负	bei'fu
背光	bei'guang
背后	bei'hou
背脊	bei'ji
背景	bei'jing
背离	bei'li
背面	bei'mian
背叛	bei'pan
背弃	bei'qi
背书	bei'shu
背诵	bei'song
背斜	bei'xie
背心	bei'xin
背信弃义	bei'xin'qi'yi
背影	bei'ying
背後	bei'hou
背旮旯	bei'ga'la
背鳍	bei'qi
贝多芬	bei'duo'fen
贝尔	bei'er
贝尔格莱德	bei'er'ge'lai'de
贝壳	bei'ke
贝克	bei'ke
贝克勒耳	bei'ke'le'er
贝拉	bei'la
贝勒	bei'le
贝类	bei'lei
贝鲁特	bei'lu'te
贝西	bei'xi
倍数	bei'shu
倍于	bei'yu
倍增	bei'zeng
备案	bei'an
备查	bei'cha
备份	bei'fen
备耕	bei'geng
备荒	bei'huang
备件	bei'jian
备课	bei'ke
备料	bei'liao
备品	bei'pin
备忘	bei'wang
备忘录	bei'wang'lu
备用	bei'yong
备有	bei'you
备战	bei'zhan
备至	bei'zhi
备注	bei'zhu
焙烧	bei'shao
被保险人	bei'bao'xian'ren
被逼	bei'bi
被捕	bei'bu
被乘数	bei'cheng'shu
被除数	bei'chu'shu
被刺	bei'ci
被单	bei'dan
被盗	bei'dao
被动	bei'dong
被俘	bei'fu
被覆	bei'fu
被复	bei'fu
被告	bei'gao
被告人	bei'gao'ren
被害	bei'hai
被害人	bei'hai'ren
被加数	bei'jia'shu
被减数	bei'jian'shu
被劫	bei'jie
被开方数	bei'kai'fang'shu
被面	bei'mian
被迫	bei'po
被褥	bei'ru
被统治阶级	bei'tong'zhi'jie'ji
被统治者	bei'tong'zhi'zhe
被窝	bei'wo
被选举权	bei'xuan'ju'quan
被压迫	bei'ya'po
被压迫阶级	bei'ya'po'jie'ji
被压迫民族	bei'ya'po'min'zu
被子	bei'zi
被子植物	bei'zi'zhi'wu
奔波	ben'bo
奔驰	ben'chi
奔放	ben'fang
奔赴	ben'fu
奔流	ben'liu
奔忙	ben'mang
奔跑	ben'pao
奔腾	ben'teng
奔向	ben'xiang
奔走	ben'zou
奔走相告	ben'zou'xiang'gao
苯胺	ben'an
苯酚	ben'fen
苯环	ben'huan
苯基	ben'ji
苯甲酸	ben'jia'suan
苯乙烯	ben'yi'xi
本报	ben'bao
本报讯	ben'bao'xun
本本	ben'ben
本部	ben'bu
本草	ben'cao
本草纲目	ben'cao'gang'mu
本地	ben'di
本队	ben'dui
本儿	ben'er
本分	ben'fen
本国	ben'guo
本会	ben'hui
本机振荡	ben'ji'zhen'dang
本机振荡器	ben'ji'zhen'dang'qi
本纪	ben'ji
本家	ben'jia
本届	ben'jie
本句	ben'ju
本科	ben'ke
本来	ben'lai
本来的	ben'lai'de
本来面目	ben'lai'mian'mu
本垒	ben'lei
本利	ben'li
本领	ben'ling
本论	ben'lun
本末	ben'mo
本能	ben'neng
本年	ben'nian
本年度	ben'nian'du
本票	ben'piao
本期	ben'qi
本期发生额	ben'qi'fa'sheng'e
本钱	ben'qian
本人	ben'ren
本色	ben'se
本身	ben'shen
本生	ben'sheng
本世纪	ben'shi'ji
本事	ben'shi
本市	ben'shi
本书	ben'shu
本所	ben'suo
本台	ben'tai
本题	ben'ti
本体	ben'ti
本土	ben'tu
本位	ben'wei
本位主义	ben'wei'zhu'yi
本文	ben'wen
本溪	ben'xi
本相	ben'xiang
本心	ben'xin
本行	ben'xing
本性	ben'xing
本业	ben'ye
本意	ben'yi
本原	ben'yuan
本源	ben'yuan
本月	ben'yue
本职	ben'zhi
本质	ben'zhi
本质属性	ben'zhi'shu'xing
本周	ben'zhou
本州	ben'zhou
本主	ben'zhu
本子	ben'zi
笨蛋	ben'dan
笨鸟先飞	ben'niao'xian'fei
笨手笨脚	ben'shou'ben'jiao
笨重	ben'zhong
笨拙	ben'zhuo
崩解	beng'jie
崩溃	beng'kui
崩裂	beng'lie
崩塌	beng'ta
绷带	beng'dai
绷紧	beng'jin
迸发	beng'fa
迸裂	beng'lie
逼得	bi'de
逼供	bi'gong
逼近	bi'jin
逼迫	bi'po
逼人	bi'ren
逼死	bi'si
逼真	bi'zhen
鼻痘	bi'dou
鼻尖	bi'jian
鼻孔	bi'kong
鼻梁	bi'liang
鼻腔	bi'qiang
鼻涕	bi'ti
鼻息	bi'xi
鼻烟	bi'yan
鼻音	bi'yin
鼻子	bi'zi
鼻祖	bi'zu
比比	bi'bi
比比皆是	bi'bi'jie'shi
比表面	bi'biao'mian
比不上	bi'bu'shang
比对	bi'dui
比尔	bi'er
比方	bi'fang
比分	bi'fen
比附	bi'fu
比干	bi'gan
比高	bi'gao
比价	bi'jia
比较	bi'jiao
比较仪	bi'jiao'yi
比来	bi'lai
比利	bi'li
比利时	bi'li'shi
比例	bi'li
比例尺	bi'li'chi
比例规	bi'li'gui
比例中项	bi'li'zhong'xiang
比目鱼	bi'mu'yu
比拟	bi'ni
比年	bi'nian
比起	bi'qi
比热	bi're
比容	bi'rong
比如	bi'ru
比赛	bi'sai
比色计	bi'se'ji
比绍	bi'shao
比试	bi'shi
比他	bi'ta
比它	bi'ta
比她	bi'ta
比我	bi'wo
比我们	bi'wo'men
比翼双飞	bi'yi'shuang'fei
比喻	bi'yu
比照	bi'zhao
比值	bi'zhi
比重	bi'zhong
比做	bi'zuo
鄙人	bi'ren
鄙视	bi'shi
鄙夷	bi'yi
鄙意	bi'yi
笔触	bi'chu
笔法	bi'fa
笔锋	bi'feng
笔杆	bi'gan
笔画	bi'hua
笔迹	bi'ji
笔记	bi'ji
笔尖	bi'jian
笔力	bi'li
笔录	bi'lu
笔名	bi'ming
笔墨	bi'mo
笔舌	bi'she
笔顺	bi'shun
笔套	bi'tao
笔头	bi'tou
笔下	bi'xia
笔形	bi'xing
笔者	bi'zhe
笔直	bi'zhi
笔资	bi'zi
彼岸	bi'an
彼此	bi'ci
彼得	bi'de
彼得格勒	bi'de'ge'le
彼得一世	bi'de'yi'shi
碧波	bi'bo
碧绿	bi'lv
碧螺春	bi'luo'chun
碧玉	bi'yu
蓖麻	bi'ma
毕达哥拉斯	bi'da'ge'la'si
毕竟	bi'jing
毕生	bi'sheng
毕升	bi'sheng
毕业	bi'ye
毕业生	bi'ye'sheng
毙了	bi'le
毙命	bi'ming
币值	bi'zhi
币制	bi'zhi
庇护	bi'hu
痹症	bi'zheng
闭关	bi'guan
闭关政策	bi'guan'zheng'ce
闭关自守	bi'guan'zi'shou
闭合	bi'he
闭合电路	bi'he'dian'lu
闭会	bi'hui
闭口	bi'kou
闭门	bi'men
闭幕	bi'mu
弊病	bi'bing
弊端	bi'duan
必败	bi'bai
必不可少	bi'bu'ke'shao
必得	bi'de
必定	bi'ding
必将	bi'jiang
必能	bi'neng
必然	bi'ran
